City,Lat,Long,Country_of_citizenship,COC_Lat,COC_Long,Count
REDMOND,47.6776,-122.1176,TAIWAN,23.69781,120.960515,61
REDMOND,47.6776,-122.1176,TURKEY,38.963745,35.243322,85
REDMOND,47.6776,-122.1176,UNITED KINGDOM,55.378051,-3.435973,144
REDMOND,47.6776,-122.1176,VENEZUELA,6.42375,-66.58973,12
REDMOND,47.6776,-122.1176,VIETNAM,14.058324,108.277199,46
MOUNTAIN VIEW,19.5358,-155.1595,BRAZIL,-14.235004,-51.92528,85
MOUNTAIN VIEW,19.5358,-155.1595,CANADA,56.130366,-106.346771,577
MOUNTAIN VIEW,19.5358,-155.1595,CHINA,35.86166,104.195397,2173
MOUNTAIN VIEW,19.5358,-155.1595,FRANCE,46.227638,2.213749,127
MOUNTAIN VIEW,19.5358,-155.1595,GERMANY,51.165691,10.451526,82
MOUNTAIN VIEW,19.5358,-155.1595,INDIA,20.593684,78.96288,3127
MOUNTAIN VIEW,19.5358,-155.1595,IRAN,32.427908,53.688046,40
MOUNTAIN VIEW,19.5358,-155.1595,ITALY,41.87194,12.56738,49
MOUNTAIN VIEW,19.5358,-155.1595,JAPAN,36.204824,138.252924,40
MOUNTAIN VIEW,19.5358,-155.1595,MEXICO,23.634501,-102.552784,56
MOUNTAIN VIEW,19.5358,-155.1595,NEPAL,28.394857,84.124008,8
MOUNTAIN VIEW,19.5358,-155.1595,PAKISTAN,30.375321,69.345116,27
MOUNTAIN VIEW,19.5358,-155.1595,PHILIPPINES,12.879721,121.774017,36
MOUNTAIN VIEW,19.5358,-155.1595,RUSSIA,61.52401,105.318756,162
MOUNTAIN VIEW,19.5358,-155.1595,SOUTH KOREA,35.907757,127.766922,170
MOUNTAIN VIEW,19.5358,-155.1595,TAIWAN,23.69781,120.960515,137
MOUNTAIN VIEW,19.5358,-155.1595,TURKEY,38.963745,35.243322,94
MOUNTAIN VIEW,19.5358,-155.1595,UNITED KINGDOM,55.378051,-3.435973,128
MOUNTAIN VIEW,19.5358,-155.1595,VENEZUELA,6.42375,-66.58973,11
MOUNTAIN VIEW,19.5358,-155.1595,VIETNAM,14.058324,108.277199,46
HOUSTON,38.9177,-75.5041,BRAZIL,-14.235004,-51.92528,62
HOUSTON,38.9177,-75.5041,CANADA,56.130366,-106.346771,415
HOUSTON,38.9177,-75.5041,CHINA,35.86166,104.195397,589
HOUSTON,38.9177,-75.5041,FRANCE,46.227638,2.213749,77
HOUSTON,38.9177,-75.5041,GERMANY,51.165691,10.451526,26
HOUSTON,38.9177,-75.5041,INDIA,20.593684,78.96288,2932
HOUSTON,38.9177,-75.5041,IRAN,32.427908,53.688046,50
HOUSTON,38.9177,-75.5041,ITALY,41.87194,12.56738,38
HOUSTON,38.9177,-75.5041,JAPAN,36.204824,138.252924,16
HOUSTON,38.9177,-75.5041,MEXICO,23.634501,-102.552784,481
HOUSTON,38.9177,-75.5041,NEPAL,28.394857,84.124008,52
HOUSTON,38.9177,-75.5041,PAKISTAN,30.375321,69.345116,237
HOUSTON,38.9177,-75.5041,PHILIPPINES,12.879721,121.774017,118
HOUSTON,38.9177,-75.5041,RUSSIA,61.52401,105.318756,61
HOUSTON,38.9177,-75.5041,SOUTH KOREA,35.907757,127.766922,152
HOUSTON,38.9177,-75.5041,TAIWAN,23.69781,120.960515,90
HOUSTON,38.9177,-75.5041,TURKEY,38.963745,35.243322,108
HOUSTON,38.9177,-75.5041,UNITED KINGDOM,55.378051,-3.435973,215
HOUSTON,38.9177,-75.5041,VENEZUELA,6.42375,-66.58973,286
HOUSTON,38.9177,-75.5041,VIETNAM,14.058324,108.277199,62
SUNNYVALE,32.7974,-96.5576,BRAZIL,-14.235004,-51.92528,19
SUNNYVALE,32.7974,-96.5576,CANADA,56.130366,-106.346771,149
SUNNYVALE,32.7974,-96.5576,CHINA,35.86166,104.195397,567
SUNNYVALE,32.7974,-96.5576,FRANCE,46.227638,2.213749,36
SUNNYVALE,32.7974,-96.5576,GERMANY,51.165691,10.451526,21
SUNNYVALE,32.7974,-96.5576,INDIA,20.593684,78.96288,4845
SUNNYVALE,32.7974,-96.5576,IRAN,32.427908,53.688046,20
SUNNYVALE,32.7974,-96.5576,ITALY,41.87194,12.56738,9
SUNNYVALE,32.7974,-96.5576,JAPAN,36.204824,138.252924,21
SUNNYVALE,32.7974,-96.5576,MEXICO,23.634501,-102.552784,16
SUNNYVALE,32.7974,-96.5576,NEPAL,28.394857,84.124008,17
SUNNYVALE,32.7974,-96.5576,PAKISTAN,30.375321,69.345116,28
SUNNYVALE,32.7974,-96.5576,PHILIPPINES,12.879721,121.774017,16
SUNNYVALE,32.7974,-96.5576,RUSSIA,61.52401,105.318756,22
SUNNYVALE,32.7974,-96.5576,SOUTH KOREA,35.907757,127.766922,71
SUNNYVALE,32.7974,-96.5576,TAIWAN,23.69781,120.960515,111
SUNNYVALE,32.7974,-96.5576,TURKEY,38.963745,35.243322,24
SUNNYVALE,32.7974,-96.5576,UNITED KINGDOM,55.378051,-3.435973,44
SUNNYVALE,32.7974,-96.5576,VIETNAM,14.058324,108.277199,7
SAN FRANCISCO,37.7561,-122.4429,BRAZIL,-14.235004,-51.92528,66
SAN FRANCISCO,37.7561,-122.4429,CANADA,56.130366,-106.346771,438
SAN FRANCISCO,37.7561,-122.4429,CHINA,35.86166,104.195397,792
SAN FRANCISCO,37.7561,-122.4429,FRANCE,46.227638,2.213749,199
SAN FRANCISCO,37.7561,-122.4429,GERMANY,51.165691,10.451526,67
SAN FRANCISCO,37.7561,-122.4429,INDIA,20.593684,78.96288,3353
SAN FRANCISCO,37.7561,-122.4429,IRAN,32.427908,53.688046,29
SAN FRANCISCO,37.7561,-122.4429,ITALY,41.87194,12.56738,67
SAN FRANCISCO,37.7561,-122.4429,JAPAN,36.204824,138.252924,59
SAN FRANCISCO,37.7561,-122.4429,MEXICO,23.634501,-102.552784,62
SAN FRANCISCO,37.7561,-122.4429,NEPAL,28.394857,84.124008,19
SAN FRANCISCO,37.7561,-122.4429,PAKISTAN,30.375321,69.345116,25
SAN FRANCISCO,37.7561,-122.4429,PHILIPPINES,12.879721,121.774017,65
SAN FRANCISCO,37.7561,-122.4429,RUSSIA,61.52401,105.318756,92
SAN FRANCISCO,37.7561,-122.4429,SOUTH KOREA,35.907757,127.766922,136
SAN FRANCISCO,37.7561,-122.4429,TAIWAN,23.69781,120.960515,101
SAN FRANCISCO,37.7561,-122.4429,TURKEY,38.963745,35.243322,66
SAN FRANCISCO,37.7561,-122.4429,UNITED KINGDOM,55.378051,-3.435973,161
SAN FRANCISCO,37.7561,-122.4429,VENEZUELA,6.42375,-66.58973,17
SAN FRANCISCO,37.7561,-122.4429,VIETNAM,14.058324,108.277199,19
PLANO,33.0502,-96.7487,BRAZIL,-14.235004,-51.92528,31
PLANO,33.0502,-96.7487,CANADA,56.130366,-106.346771,81
PLANO,33.0502,-96.7487,CHINA,35.86166,104.195397,102
PLANO,33.0502,-96.7487,FRANCE,46.227638,2.213749,5
PLANO,33.0502,-96.7487,GERMANY,51.165691,10.451526,6
PLANO,33.0502,-96.7487,INDIA,20.593684,78.96288,5296
PLANO,33.0502,-96.7487,IRAN,32.427908,53.688046,5
PLANO,33.0502,-96.7487,ITALY,41.87194,12.56738,6
PLANO,33.0502,-96.7487,JAPAN,36.204824,138.252924,2
PLANO,33.0502,-96.7487,MEXICO,23.634501,-102.552784,40
PLANO,33.0502,-96.7487,NEPAL,28.394857,84.124008,21
PLANO,33.0502,-96.7487,PAKISTAN,30.375321,69.345116,62
PLANO,33.0502,-96.7487,PHILIPPINES,12.879721,121.774017,10
PLANO,33.0502,-96.7487,RUSSIA,61.52401,105.318756,5
PLANO,33.0502,-96.7487,SOUTH KOREA,35.907757,127.766922,53
PLANO,33.0502,-96.7487,TAIWAN,23.69781,120.960515,6
PLANO,33.0502,-96.7487,TURKEY,38.963745,35.243322,5
PLANO,33.0502,-96.7487,UNITED KINGDOM,55.378051,-3.435973,23
PLANO,33.0502,-96.7487,VENEZUELA,6.42375,-66.58973,4
PLANO,33.0502,-96.7487,VIETNAM,14.058324,108.277199,2
CHICAGO,41.8373,-87.6861,BRAZIL,-14.235004,-51.92528,55
CHICAGO,41.8373,-87.6861,CANADA,56.130366,-106.346771,228
CHICAGO,41.8373,-87.6861,CHINA,35.86166,104.195397,661
CHICAGO,41.8373,-87.6861,FRANCE,46.227638,2.213749,61
CHICAGO,41.8373,-87.6861,GERMANY,51.165691,10.451526,42
CHICAGO,41.8373,-87.6861,INDIA,20.593684,78.96288,3192
CHICAGO,41.8373,-87.6861,IRAN,32.427908,53.688046,29
CHICAGO,41.8373,-87.6861,ITALY,41.87194,12.56738,39
CHICAGO,41.8373,-87.6861,JAPAN,36.204824,138.252924,12
CHICAGO,41.8373,-87.6861,MEXICO,23.634501,-102.552784,83
CHICAGO,41.8373,-87.6861,NEPAL,28.394857,84.124008,34
CHICAGO,41.8373,-87.6861,PAKISTAN,30.375321,69.345116,50
CHICAGO,41.8373,-87.6861,PHILIPPINES,12.879721,121.774017,129
CHICAGO,41.8373,-87.6861,RUSSIA,61.52401,105.318756,50
CHICAGO,41.8373,-87.6861,SOUTH KOREA,35.907757,127.766922,271
CHICAGO,41.8373,-87.6861,TAIWAN,23.69781,120.960515,41
CHICAGO,41.8373,-87.6861,TURKEY,38.963745,35.243322,43
CHICAGO,41.8373,-87.6861,UNITED KINGDOM,55.378051,-3.435973,95
CHICAGO,41.8373,-87.6861,VENEZUELA,6.42375,-66.58973,17
CHICAGO,41.8373,-87.6861,VIETNAM,14.058324,108.277199,15
SEATTLE,47.6217,-122.3238,BRAZIL,-14.235004,-51.92528,42
SEATTLE,47.6217,-122.3238,CANADA,56.130366,-106.346771,446
SEATTLE,47.6217,-122.3238,CHINA,35.86166,104.195397,652
SEATTLE,47.6217,-122.3238,FRANCE,46.227638,2.213749,42
SEATTLE,47.6217,-122.3238,GERMANY,51.165691,10.451526,31
SEATTLE,47.6217,-122.3238,INDIA,20.593684,78.96288,2768
SEATTLE,47.6217,-122.3238,IRAN,32.427908,53.688046,13
SEATTLE,47.6217,-122.3238,ITALY,41.87194,12.56738,22
SEATTLE,47.6217,-122.3238,JAPAN,36.204824,138.252924,30
SEATTLE,47.6217,-122.3238,MEXICO,23.634501,-102.552784,90
SEATTLE,47.6217,-122.3238,NEPAL,28.394857,84.124008,19
SEATTLE,47.6217,-122.3238,PAKISTAN,30.375321,69.345116,28
SEATTLE,47.6217,-122.3238,PHILIPPINES,12.879721,121.774017,25
SEATTLE,47.6217,-122.3238,RUSSIA,61.52401,105.318756,72
SEATTLE,47.6217,-122.3238,SOUTH KOREA,35.907757,127.766922,106
SEATTLE,47.6217,-122.3238,TAIWAN,23.69781,120.960515,49
SEATTLE,47.6217,-122.3238,TURKEY,38.963745,35.243322,46
SEATTLE,47.6217,-122.3238,UNITED KINGDOM,55.378051,-3.435973,45
SEATTLE,47.6217,-122.3238,VENEZUELA,6.42375,-66.58973,13
SEATTLE,47.6217,-122.3238,VIETNAM,14.058324,108.277199,19
EDISON,48.5602,-122.4311,BRAZIL,-14.235004,-51.92528,5
EDISON,48.5602,-122.4311,CANADA,56.130366,-106.346771,13
EDISON,48.5602,-122.4311,CHINA,35.86166,104.195397,20
EDISON,48.5602,-122.4311,GERMANY,51.165691,10.451526,4
EDISON,48.5602,-122.4311,INDIA,20.593684,78.96288,3954
EDISON,48.5602,-122.4311,ITALY,41.87194,12.56738,1
EDISON,48.5602,-122.4311,MEXICO,23.634501,-102.552784,9
EDISON,48.5602,-122.4311,NEPAL,28.394857,84.124008,98
EDISON,48.5602,-122.4311,PAKISTAN,30.375321,69.345116,17
EDISON,48.5602,-122.4311,PHILIPPINES,12.879721,121.774017,47
EDISON,48.5602,-122.4311,SOUTH KOREA,35.907757,127.766922,41
EDISON,48.5602,-122.4311,TAIWAN,23.69781,120.960515,9
EDISON,48.5602,-122.4311,TURKEY,38.963745,35.243322,1
EDISON,48.5602,-122.4311,UNITED KINGDOM,55.378051,-3.435973,4
EDISON,48.5602,-122.4311,VENEZUELA,6.42375,-66.58973,2
EDISON,48.5602,-122.4311,VIETNAM,14.058324,108.277199,1
LOS ANGELES,28.4658,-99,BRAZIL,-14.235004,-51.92528,34
LOS ANGELES,28.4658,-99,CANADA,56.130366,-106.346771,164
LOS ANGELES,28.4658,-99,CHINA,35.86166,104.195397,190
LOS ANGELES,28.4658,-99,FRANCE,46.227638,2.213749,42
LOS ANGELES,28.4658,-99,GERMANY,51.165691,10.451526,35
LOS ANGELES,28.4658,-99,INDIA,20.593684,78.96288,556
LOS ANGELES,28.4658,-99,IRAN,32.427908,53.688046,53
LOS ANGELES,28.4658,-99,ITALY,41.87194,12.56738,21
LOS ANGELES,28.4658,-99,JAPAN,36.204824,138.252924,170
LOS ANGELES,28.4658,-99,MEXICO,23.634501,-102.552784,80
LOS ANGELES,28.4658,-99,NEPAL,28.394857,84.124008,7
LOS ANGELES,28.4658,-99,PAKISTAN,30.375321,69.345116,9
LOS ANGELES,28.4658,-99,PHILIPPINES,12.879721,121.774017,370
LOS ANGELES,28.4658,-99,RUSSIA,61.52401,105.318756,22
LOS ANGELES,28.4658,-99,SOUTH KOREA,35.907757,127.766922,2048
LOS ANGELES,28.4658,-99,TAIWAN,23.69781,120.960515,70
LOS ANGELES,28.4658,-99,TURKEY,38.963745,35.243322,30
LOS ANGELES,28.4658,-99,UNITED KINGDOM,55.378051,-3.435973,66
LOS ANGELES,28.4658,-99,VENEZUELA,6.42375,-66.58973,7
LOS ANGELES,28.4658,-99,VIETNAM,14.058324,108.277199,11
SAN DIEGO,27.7609,-98.2389,BRAZIL,-14.235004,-51.92528,19
SAN DIEGO,27.7609,-98.2389,CANADA,56.130366,-106.346771,224
SAN DIEGO,27.7609,-98.2389,CHINA,35.86166,104.195397,433
SAN DIEGO,27.7609,-98.2389,FRANCE,46.227638,2.213749,26
SAN DIEGO,27.7609,-98.2389,GERMANY,51.165691,10.451526,23
SAN DIEGO,27.7609,-98.2389,INDIA,20.593684,78.96288,2171
SAN DIEGO,27.7609,-98.2389,IRAN,32.427908,53.688046,39
SAN DIEGO,27.7609,-98.2389,ITALY,41.87194,12.56738,19
SAN DIEGO,27.7609,-98.2389,JAPAN,36.204824,138.252924,54
SAN DIEGO,27.7609,-98.2389,MEXICO,23.634501,-102.552784,119
SAN DIEGO,27.7609,-98.2389,NEPAL,28.394857,84.124008,16
SAN DIEGO,27.7609,-98.2389,PAKISTAN,30.375321,69.345116,16
SAN DIEGO,27.7609,-98.2389,PHILIPPINES,12.879721,121.774017,26
SAN DIEGO,27.7609,-98.2389,RUSSIA,61.52401,105.318756,13
SAN DIEGO,27.7609,-98.2389,SOUTH KOREA,35.907757,127.766922,263
SAN DIEGO,27.7609,-98.2389,TAIWAN,23.69781,120.960515,82
SAN DIEGO,27.7609,-98.2389,TURKEY,38.963745,35.243322,16
SAN DIEGO,27.7609,-98.2389,UNITED KINGDOM,55.378051,-3.435973,27
SAN DIEGO,27.7609,-98.2389,VENEZUELA,6.42375,-66.58973,3
SAN DIEGO,27.7609,-98.2389,VIETNAM,14.058324,108.277199,8
DALLAS,45.259,-91.8142,BRAZIL,-14.235004,-51.92528,49
DALLAS,45.259,-91.8142,CANADA,56.130366,-106.346771,118
DALLAS,45.259,-91.8142,CHINA,35.86166,104.195397,214
DALLAS,45.259,-91.8142,FRANCE,46.227638,2.213749,23
DALLAS,45.259,-91.8142,GERMANY,51.165691,10.451526,23
DALLAS,45.259,-91.8142,INDIA,20.593684,78.96288,1952
DALLAS,45.259,-91.8142,IRAN,32.427908,53.688046,81
DALLAS,45.259,-91.8142,ITALY,41.87194,12.56738,11
DALLAS,45.259,-91.8142,JAPAN,36.204824,138.252924,43
DALLAS,45.259,-91.8142,MEXICO,23.634501,-102.552784,331
DALLAS,45.259,-91.8142,NEPAL,28.394857,84.124008,46
DALLAS,45.259,-91.8142,PAKISTAN,30.375321,69.345116,52
DALLAS,45.259,-91.8142,PHILIPPINES,12.879721,121.774017,109
DALLAS,45.259,-91.8142,RUSSIA,61.52401,105.318756,10
DALLAS,45.259,-91.8142,SOUTH KOREA,35.907757,127.766922,278
DALLAS,45.259,-91.8142,TAIWAN,23.69781,120.960515,32
DALLAS,45.259,-91.8142,TURKEY,38.963745,35.243322,12
DALLAS,45.259,-91.8142,UNITED KINGDOM,55.378051,-3.435973,37
DALLAS,45.259,-91.8142,VENEZUELA,6.42375,-66.58973,44
DALLAS,45.259,-91.8142,VIETNAM,14.058324,108.277199,22
PHILADELPHIA,35.6788,-84.3999,BRAZIL,-14.235004,-51.92528,17
PHILADELPHIA,35.6788,-84.3999,CANADA,56.130366,-106.346771,106
PHILADELPHIA,35.6788,-84.3999,CHINA,35.86166,104.195397,185
PHILADELPHIA,35.6788,-84.3999,FRANCE,46.227638,2.213749,23
PHILADELPHIA,35.6788,-84.3999,GERMANY,51.165691,10.451526,15
PHILADELPHIA,35.6788,-84.3999,INDIA,20.593684,78.96288,2380
PHILADELPHIA,35.6788,-84.3999,IRAN,32.427908,53.688046,8
PHILADELPHIA,35.6788,-84.3999,ITALY,41.87194,12.56738,14
PHILADELPHIA,35.6788,-84.3999,JAPAN,36.204824,138.252924,52
PHILADELPHIA,35.6788,-84.3999,MEXICO,23.634501,-102.552784,32
PHILADELPHIA,35.6788,-84.3999,NEPAL,28.394857,84.124008,17
PHILADELPHIA,35.6788,-84.3999,PAKISTAN,30.375321,69.345116,39
PHILADELPHIA,35.6788,-84.3999,PHILIPPINES,12.879721,121.774017,27
PHILADELPHIA,35.6788,-84.3999,RUSSIA,61.52401,105.318756,28
PHILADELPHIA,35.6788,-84.3999,SOUTH KOREA,35.907757,127.766922,107
PHILADELPHIA,35.6788,-84.3999,TAIWAN,23.69781,120.960515,20
PHILADELPHIA,35.6788,-84.3999,TURKEY,38.963745,35.243322,14
PHILADELPHIA,35.6788,-84.3999,UNITED KINGDOM,55.378051,-3.435973,36
PHILADELPHIA,35.6788,-84.3999,VENEZUELA,6.42375,-66.58973,17
PHILADELPHIA,35.6788,-84.3999,VIETNAM,14.058324,108.277199,13
IRVING,32.8584,-96.9702,BRAZIL,-14.235004,-51.92528,11
IRVING,32.8584,-96.9702,CANADA,56.130366,-106.346771,57
IRVING,32.8584,-96.9702,CHINA,35.86166,104.195397,50
IRVING,32.8584,-96.9702,FRANCE,46.227638,2.213749,4
IRVING,32.8584,-96.9702,GERMANY,51.165691,10.451526,5
IRVING,32.8584,-96.9702,INDIA,20.593684,78.96288,2668
IRVING,32.8584,-96.9702,IRAN,32.427908,53.688046,1
IRVING,32.8584,-96.9702,ITALY,41.87194,12.56738,2
IRVING,32.8584,-96.9702,JAPAN,36.204824,138.252924,3
IRVING,32.8584,-96.9702,MEXICO,23.634501,-102.552784,43
IRVING,32.8584,-96.9702,NEPAL,28.394857,84.124008,171
IRVING,32.8584,-96.9702,PAKISTAN,30.375321,69.345116,42
IRVING,32.8584,-96.9702,PHILIPPINES,12.879721,121.774017,19
IRVING,32.8584,-96.9702,RUSSIA,61.52401,105.318756,5
IRVING,32.8584,-96.9702,SOUTH KOREA,35.907757,127.766922,15
IRVING,32.8584,-96.9702,TAIWAN,23.69781,120.960515,10
IRVING,32.8584,-96.9702,TURKEY,38.963745,35.243322,6
IRVING,32.8584,-96.9702,UNITED KINGDOM,55.378051,-3.435973,14
IRVING,32.8584,-96.9702,VENEZUELA,6.42375,-66.58973,10
IRVING,32.8584,-96.9702,VIETNAM,14.058324,108.277199,4
CUPERTINO,37.3167,-122.0465,BRAZIL,-14.235004,-51.92528,25
CUPERTINO,37.3167,-122.0465,CANADA,56.130366,-106.346771,269
CUPERTINO,37.3167,-122.0465,CHINA,35.86166,104.195397,337
CUPERTINO,37.3167,-122.0465,FRANCE,46.227638,2.213749,104
CUPERTINO,37.3167,-122.0465,GERMANY,51.165691,10.451526,32
CUPERTINO,37.3167,-122.0465,INDIA,20.593684,78.96288,1874
CUPERTINO,37.3167,-122.0465,IRAN,32.427908,53.688046,9
CUPERTINO,37.3167,-122.0465,ITALY,41.87194,12.56738,24
CUPERTINO,37.3167,-122.0465,JAPAN,36.204824,138.252924,25
CUPERTINO,37.3167,-122.0465,MEXICO,23.634501,-102.552784,25
CUPERTINO,37.3167,-122.0465,NEPAL,28.394857,84.124008,6
CUPERTINO,37.3167,-122.0465,PAKISTAN,30.375321,69.345116,14
CUPERTINO,37.3167,-122.0465,PHILIPPINES,12.879721,121.774017,8
